Audio frame state -> leftFinal: 0, NR52: 00, NR51: 00, Ch1Vol: 0, Ch2Vol: 0
Audio frame state -> leftFinal: 0, NR52: 80, NR51: 00, Ch1Vol: 0, Ch2Vol: 0
Audio frame state -> leftFinal: 0, NR52: 80, NR51: 00, Ch1Vol: 0, Ch2Vol: 0
Audio frame state -> leftFinal: 0, NR52: 80, NR51: 00, Ch1Vol: 0, Ch2Vol: 0
Audio frame state -> leftFinal: 0, NR52: 80, NR51: 00, Ch1Vol: 0, Ch2Vol: 0
Audio frame state -> leftFinal: 0, NR52: 80, NR51: 00, Ch1Vol: 0, Ch2Vol: 0
Audio frame state -> leftFinal: 0, NR52: 80, NR51: 00, Ch1Vol: 0, Ch2Vol: 0
Audio frame state -> leftFinal: 0, NR52: 80, NR51: 00, Ch1Vol: 0, Ch2Vol: 0
Audio frame state -> leftFinal: 0, NR52: 80, NR51: 00, Ch1Vol: 0, Ch2Vol: 0
Audio frame state -> leftFinal: 0, NR52: 80, NR51: 00, Ch1Vol: 0, Ch2Vol: 0
Audio frame state -> leftFinal: 0, NR52: 80, NR51: 00, Ch1Vol: 0, Ch2Vol: 0
Audio frame state -> leftFinal: 0, NR52: 80, NR51: 00, Ch1Vol: 0, Ch2Vol: 0
Audio frame state -> leftFinal: 0, NR52: 80, NR51: 00, Ch1Vol: 0, Ch2Vol: 0
Audio frame state -> leftFinal: 0, NR52: 80, NR51: 00, Ch1Vol: 0, Ch2Vol: 0
Audio frame state -> leftFinal: 2560, NR52: 80, NR51: 11, Ch1Vol: 4, Ch2Vol: 0
Audio frame state -> leftFinal: 3840, NR52: 80, NR51: 11, Ch1Vol: 6, Ch2Vol: 0
Audio frame state -> leftFinal: 5120, NR52: 80, NR51: 11, Ch1Vol: 8, Ch2Vol: 0
Audio frame state -> leftFinal: 0, NR52: 80, NR51: 11, Ch1Vol: 6, Ch2Vol: 0
Audio frame state -> leftFinal: 0, NR52: 80, NR51: 11, Ch1Vol: 1, Ch2Vol: 0
Audio frame state -> leftFinal: 640, NR52: 80, NR51: 11, Ch1Vol: 1, Ch2Vol: 0
Audio frame state -> leftFinal: 0, NR52: 80, NR51: 11, Ch1Vol: 1, Ch2Vol: 0
Audio frame state -> leftFinal: 0, NR52: 80, NR51: 11, Ch1Vol: 1, Ch2Vol: 0
Audio frame state -> leftFinal: 0, NR52: 80, NR51: 11, Ch1Vol: 1, Ch2Vol: 0
Audio frame state -> leftFinal: 0, NR52: 80, NR51: 11, Ch1Vol: 1, Ch2Vol: 0
Audio frame state -> leftFinal: 0, NR52: 80, NR51: 11, Ch1Vol: 1, Ch2Vol: 0
Audio frame state -> leftFinal: 0, NR52: 80, NR51: 11, Ch1Vol: 1, Ch2Vol: 0
Audio frame state -> leftFinal: 0, NR52: 80, NR51: 11, Ch1Vol: 1, Ch2Vol: 0
Audio frame state -> leftFinal: 0, NR52: 80, NR51: 11, Ch1Vol: 1, Ch2Vol: 0
Audio frame state -> leftFinal: 0, NR52: 80, NR51: 11, Ch1Vol: 1, Ch2Vol: 0
Audio frame state -> leftFinal: 0, NR52: 80, NR51: 11, Ch1Vol: 1, Ch2Vol: 0
Audio frame state -> leftFinal: 0, NR52: 80, NR51: 88, Ch1Vol: 0, Ch2Vol: 0
Audio frame state -> leftFinal: 0, NR52: 80, NR51: 88, Ch1Vol: 0, Ch2Vol: 0
Audio frame state -> leftFinal: 0, NR52: 80, NR51: 88, Ch1Vol: 0, Ch2Vol: 0
Audio frame state -> leftFinal: 0, NR52: 80, NR51: 88, Ch1Vol: 0, Ch2Vol: 0
Audio frame state -> leftFinal: 14720, NR52: 80, NR51: FF, Ch1Vol: 11, Ch2Vol: 12
Audio frame state -> leftFinal: 0, NR52: 80, NR51: FF, Ch1Vol: 11, Ch2Vol: 12
Audio frame state -> leftFinal: 7680, NR52: 80, NR51: BB, Ch1Vol: 11, Ch2Vol: 12
Audio frame state -> leftFinal: 7680, NR52: 80, NR51: FF, Ch1Vol: 12, Ch2Vol: 12
Audio frame state -> leftFinal: 7680, NR52: 80, NR51: FF, Ch1Vol: 12, Ch2Vol: 12
Audio frame state -> leftFinal: 7680, NR52: 80, NR51: FF, Ch1Vol: 12, Ch2Vol: 12
Audio frame state -> leftFinal: 7680, NR52: 80, NR51: FF, Ch1Vol: 12, Ch2Vol: 12
Audio frame state -> leftFinal: 15360, NR52: 80, NR51: FF, Ch1Vol: 12, Ch2Vol: 12
Audio frame state -> leftFinal: 7680, NR52: 80, NR51: FF, Ch1Vol: 12, Ch2Vol: 12
Audio frame state -> leftFinal: 7040, NR52: 80, NR51: FF, Ch1Vol: 11, Ch2Vol: 12
Audio frame state -> leftFinal: 14720, NR52: 80, NR51: FF, Ch1Vol: 11, Ch2Vol: 12
Audio frame state -> leftFinal: 14720, NR52: 80, NR51: FF, Ch1Vol: 11, Ch2Vol: 12
Audio frame state -> leftFinal: 7680, NR52: 80, NR51: FF, Ch1Vol: 12, Ch2Vol: 12
Audio frame state -> leftFinal: 0, NR52: 80, NR51: BB, Ch1Vol: 12, Ch2Vol: 12
Audio frame state -> leftFinal: 14720, NR52: 80, NR51: FF, Ch1Vol: 11, Ch2Vol: 12
Audio frame state -> leftFinal: 7680, NR52: 80, NR51: FF, Ch1Vol: 11, Ch2Vol: 12
